question,rewritten_question,ground_truth,generated_answer,context,distance,confidence,retrieved_index
When did he marry louise désirée lorieux?,When did he marry Louise désirée lorieux?,1890,Information not found in context,"Becquerel was born in Paris into a family which, including he and his son Jean, produced four generations of scientists. He studied science at the Ãcole Polytechnique and engineering at the Ãcole des Ponts et ChaussÃ©es. In 1890 he married Louise DÃ©sirÃ©e Lorieux.",1.1152573,low,828
Was Becquerel elected Permanent Secretary of the Académie des Sciences?,Was Becquerel elected Permanent Secretary of the Académie des Sciences?,yes,yes,"In 1908, the year of his death, Becquerel was elected Permanent Secretary of the AcadÃ©mie des Sciences. He died at the age of 55 in Le Croisic.",0.6351321,high,834
"Was Becquerel born in Paris into a family which, including he and his son Jean, produced four generations of scientists?",Was Becquerel born in Paris?,yes,yes,"Becquerel was born in Paris into a family which, including he and his son Jean, produced four generations of scientists. He studied science at the Ãcole Polytechnique and engineering at the Ãcole des Ponts et ChaussÃ©es. In 1890 he married Louise DÃ©sirÃ©e Lorieux.",0.41165438,high,828
Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel,Pierre and Marie Curie,"In 1903, he shared the Nobel Prize in Physics with Pierre and Marie Curie ""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity"".",0.378894,high,833
Did he not die at the age of 55 in Le Croisic ?,Did he die at the age of 55 in Le Croisic ?,Yes he died at the age of 55,Information not found in context,"In 1908, the year of his death, Becquerel was elected Permanent Secretary of the AcadÃ©mie des Sciences. He died at the age of 55 in Le Croisic.",0.91362774,low,834
Did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design ?,Did one place between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design?,yes,a piece of money," One wraps a LumiÃ¨re photographic plate with a bromide emulsion in two sheets of very thick black paper, such that the plate does not become clouded upon being exposed to the sun for a day. One places on the sheet of paper, on the outside, a slab of the phosphorescent substance, and one exposes the whole to the sun for several hours. When one then develops the photographic plate, one recognizes that the silhouette of the phosphorescent substance appears in black on the negative. If one places between the phosphorescent substance and the paper a piece of money or a metal screen pierced with a cut-out design, one sees the image of these objects appear on the negative. â¦ One must conclude from these experiments that the phosphorescent substance in question emits rays which pass through the  opaque paper and reduces silver salts.    Comptes Rendus 122, 420 (1896),  translated by Carmen Giunta. Accessed September 10, 2006.",0.752349,high,832
What happened in 1896?,What happened in 1896?, Becquerel accidentally discovered radioactivity.,Information not found in context,"*David T. Beito and Linda Royster Beito,  ""Gold Democrats and the Decline of Classical Liberalism, 1896-1900,""Independent Review 4 (Spring 2000), 555-75.",1.0108571,low,532
What happened with a bromide emulsion in two sheets of very thick black paper?,What happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day,Information not found in context," One wraps a LumiÃ¨re photographic plate with a bromide emulsion in two sheets of very thick black paper, such that the plate does not become clouded upon being exposed to the sun for a day. One places on the sheet of paper, on the outside, a slab of the phosphorescent substance, and one exposes the whole to the sun for several hours. When one then develops the photographic plate, one recognizes that the silhouette of the phosphorescent substance appears in black on the negative. If one places between the phosphorescent substance and the paper a piece of money or a metal screen pierced with a cut-out design, one sees the image of these objects appear on the negative. â¦ One must conclude from these experiments that the phosphorescent substance in question emits rays which pass through the  opaque paper and reduces silver salts.    Comptes Rendus 122, 420 (1896),  translated by Carmen Giunta. Accessed September 10, 2006.",1.0300283,low,832
Is there a becquerel crater on the moon and a becquerel crater on mars?,Is there a becquerel crater on the moon or Mars?,yes,Mars,"The SI unit for radioactivity, the becquerel (Bq), is named after him, and there is a Becquerel crater on the Moon and a Becquerel crater on Mars.",0.6368539,high,835
Are the Javanese the largest and politically dominant ethnic group in Indonesia?,Are the Javanese the largest and politically dominant ethnic group in Indonesia?,yes,yes,"Most Indonesians are descendant from Austronesian-speaking peoples, who originated from Taiwan. The other major grouping are Melanesians, who inhabit eastern Indonesia. Taylor (2003), pages 5â7,  ;    There are around 300 distinct native ethnicities in Indonesia, and 742 different languages and dialects.  ;    The largest is the Javanese, who comprise 42% of the population, and are politically and culturally dominant.    The Sundanese, ethnic Malays, and Madurese are the largest non-Javanese groups. Small but significant populations of ethnic Chinese, Indians, Europeans and Arabs are concentrated mostly in urban areas.  A sense of Indonesian nationhood exists alongside strongly maintained regional identities. Ricklefs (1991), page 256  Society is largely harmonious, although social, religious and ethnic tensions have triggered horrendous violence.  Domestic migration (including the official Transmigrasi program) are a cause of violence such as the massacre of hundreds of Madurese by a local Dayak community in West Kalimantan, and conflicts in Maluku, Central Sulawesi, and parts of Papua and West Papua  ;  ;  ; Kyoto University: Sulawesi Kaken Team & Center for Southeast Asian Studies    Chinese Indonesians are an influential ethnic minority comprising less than 2% of the population. Much of the country's privately-owned commerce and wealth is Chinese-controlled, Schwarz (1994), pages 53, 80â81; Friend (2003), pages 85â87, 164â165, 233â237  which has contributed to considerable resentment, and even anti-Chinese violence.  ;   The riots in Jakarta in 1998 much of which were aimed at the Chinese were, in part, expressions of this resentment. ;",0.62141573,high,816
